,year,precipitation_winter,precipitation_summer,precipitation_annual,volwater_winter,volwater_spring,volwater_summer,volwater_fall
0,1980,14.794962962962964,2.5628888888888888,8.281304347826087,0.13865873774598117,0.13973114377452298,0.0673715071724429,0.07814334686786771
1,1981,2.4477083333333334,10.090375,8.430753768844221,0.08286014743275207,0.09120336281803881,0.06623620647941497,0.11468525240041545
2,1982,4.256502242152466,10.456816143497758,7.831491712707182,0.13076702475000207,0.10939457024930468,0.07042250695026513,0.09874419687374358
3,1983,7.498550185873606,11.130260223048326,10.440301724137932,0.14309940598842008,0.14408445381271393,0.07087810009705253,0.09446276810811181
4,1984,5.174659090909091,9.853333333333333,7.051814159292036,0.1315937610192359,0.11132666429383765,0.06809806039315698,0.09336369813701197
5,1985,8.230173913043478,4.887130434782608,10.26768817204301,0.13175729263790445,0.13681976523053838,0.06843222706147489,0.13187796616787653
6,1986,2.4671171171171173,10.667117117117117,8.411833333333332,0.15256190655204283,0.1168843631166319,0.06904424166979142,0.12779740303911785
7,1987,6.468122605363985,12.058237547892722,8.828340807174888,0.15836808750566245,0.12963480919717674,0.07339654605711118,0.1044055853780314
8,1988,5.645613382899628,9.032416356877324,6.304612068965517,0.1423411893380508,0.12315231506693215,0.06756639218170003,0.07622058185453709
9,1989,5.460542986425339,7.10972850678733,4.514972067039107,0.07610744875515418,0.0869486314875911,0.06728559918626406,0.06508566565070098
10,1990,3.710557939914163,5.61931330472103,6.452879581151833,0.067224213834902,0.07353529098578646,0.06565516302611517,0.10195690473539998
11,1991,5.339379562043796,6.956642335766423,7.068225108225108,0.11346067641908604,0.11678357216461496,0.0668543291363992,0.09496019095705509
12,1992,6.645182186234818,6.249595141700405,7.355687203791469,0.13255023392821985,0.12735348008831937,0.06832474517309997,0.08509167899932021
13,1993,13.994357798165138,6.178669724770643,8.778826815642459,0.1272014095441473,0.13330304978555813,0.0680316704477235,0.09501235961149677
14,1994,3.5482421875,2.7741796874999998,5.936384976525821,0.10008579315723845,0.08710972050641803,0.06500464062259212,0.08429699912016882
15,1995,7.609386973180077,7.377164750957855,7.729638009049774,0.13474328467146052,0.1292024663827547,0.06850563255573187,0.06699879341957758
16,1996,3.1824669603524227,5.2232599118942735,6.586354166666666,0.07248760676842603,0.06887257868919817,0.06523538060384272,0.10878385204802359
17,1997,8.699324894514767,9.328987341772153,8.838905472636817,0.1599969655165889,0.12556696213025526,0.07283278116467602,0.09781314266345166
18,1998,5.6010071942446045,6.322841726618705,7.549491525423729,0.12537230249861742,0.10361228556028185,0.06776179712188517,0.10348937598559925
19,1999,3.00996,15.6302,6.992912621359223,0.14148813291485585,0.10778905486802136,0.07529207663479781,0.06990509059999592
20,2000,5.74824644549763,5.106635071090047,6.606494252873563,0.08996001566353659,0.0997511924519551,0.06530489546794226,0.09727519575699276
21,2001,6.413562231759657,8.705836909871245,6.343814432989691,0.1313476836967592,0.12057413922183445,0.0681666197318931,0.06625330895545258
22,2002,2.3670703125,3.20921875,4.551636363636364,0.07896922080681755,0.06999465659027089,0.06453078748511488,0.10543028133136177
23,2003,6.355642201834862,6.094541284403669,6.814540229885058,0.10830799648515696,0.11328499663263729,0.06648883347267452,0.10586513695481561
24,2004,6.571565217391305,2.74195652173913,8.064072164948454,0.12640483896284346,0.11244459134512602,0.06554341978949153,0.12473560055108618
25,2005,13.623958333333333,8.563458333333333,9.413115577889448,0.17487410073227935,0.130235151660717,0.06957863004253247,0.08476553268099882
26,2006,1.9648648648648648,7.836602316602317,9.019868421052632,0.08416133925501527,0.09957708154272255,0.06657741512626265,0.1329472157305721
27,2007,3.4589861751152076,8.013133640552995,5.754624277456647,0.13402629667058102,0.10278460158963464,0.06725408410362463,0.08270929324841954
28,2008,14.375573770491803,7.13827868852459,7.708612440191388,0.13967086156148145,0.12640535847491535,0.06849274635875452,0.0699774282941763
29,2009,6.484145299145299,2.732008547008547,5.273980099502487,0.11796684855347087,0.09611231932497391,0.06529058582096843,0.06960826183282176
30,2010,13.00099173553719,10.926735537190083,8.739808612440191,0.07935356166762585,0.12350665604994879,0.07497933877618448,0.08080291133913077
